name,fan_cost,ac_count,room_count,link_count 
house10000,2773333.33333,2.0,5.0,7.0 
house10001,10400000.0,2.0,7.0,7.0 
house10002,10400000.0,2.0,6.0,2.0 
house10003,3351111.11111,1.0,4.0,4.0 
house10004,4304444.44444,1.0,4.0,3.0 
house10005,5315555.55556,1.0,8.0,10.0 
house10006,3264444.44444,2.0,7.0,8.0 
house10007,3004444.44444,3.0,7.0,8.0 
house10008,3871111.11111,3.0,8.0,8.0 
house10009,10400000.0,1.0,3.0,1.0 
house10010,3437777.77778,2.0,5.0,5.0 
house10011,3091111.11111,1.0,5.0,4.0 
house10012,10400000.0,3.0,7.0,3.0 
house10013,3177777.77778,2.0,7.0,8.0 
house10014,5315555.55556,2.0,7.0,6.0 
house10015,3524444.44444,2.0,7.0,8.0 
house10016,3264444.44444,1.0,3.0,2.0 
house10017,3524444.44444,1.0,5.0,5.0 
house10018,5171111.11111,1.0,8.0,8.0 
house10019,3351111.11111,1.0,3.0,2.0 
house10020,3091111.11111,1.0,4.0,3.0 
house10021,10400000.0,2.0,8.0,6.0 
house10022,3004444.44444,1.0,3.0,3.0 
house10023,10400000.0,3.0,8.0,6.0 
house10024,3611111.11111,1.0,8.0,9.0 
house10025,2773333.33333,2.0,6.0,5.0 
house10026,5315555.55556,1.0,6.0,8.0 
house10027,3524444.44444,2.0,5.0,6.0 
house10028,3611111.11111,2.0,5.0,3.0 
house10029,10400000.0,1.0,4.0,3.0 
house10030,5315555.55556,1.0,8.0,12.0 
house10031,10400000.0,1.0,4.0,2.0 
house10032,3091111.11111,1.0,4.0,5.0 
house10033,3524444.44444,3.0,8.0,9.0 
house10034,5344444.44444,1.0,5.0,6.0 
house10035,10400000.0,2.0,7.0,6.0 
house10036,10400000.0,3.0,7.0,4.0 
house10037,10400000.0,4.0,9.0,7.0 
house10038,5460000.0,2.0,6.0,4.0 
house10039,3784444.44444,1.0,6.0,7.0 
house10040,3351111.11111,2.0,7.0,7.0 
house10041,2975555.55556,3.0,8.0,10.0 
house10042,10400000.0,2.0,6.0,3.0 
house10043,5315555.55556,1.0,5.0,5.0 
house10044,4304444.44444,1.0,5.0,4.0 
house10045,10400000.0,2.0,6.0,5.0 
house10046,3004444.44444,1.0,3.0,3.0 
house10047,3177777.77778,2.0,6.0,5.0 
house10048,3264444.44444,1.0,3.0,3.0 
house10049,10400000.0,2.0,6.0,2.0 
house10050,10400000.0,2.0,7.0,5.0 
house10051,3524444.44444,1.0,6.0,6.0 
house10052,3668888.88889,3.0,7.0,8.0 
house10053,5315555.55556,2.0,8.0,9.0 
house10054,3437777.77778,1.0,6.0,7.0 
house10055,5315555.55556,1.0,8.0,11.0 
house10056,3264444.44444,2.0,6.0,6.0 
house10057,10400000.0,2.0,5.0,3.0 
house10058,3351111.11111,2.0,6.0,6.0 
house10059,3091111.11111,3.0,7.0,6.0 
house10060,3524444.44444,1.0,6.0,7.0 
house10061,2773333.33333,2.0,5.0,6.0 
house10062,10400000.0,3.0,9.0,11.0 
house10063,3437777.77778,3.0,7.0,6.0 
house10064,10400000.0,1.0,5.0,3.0 
house10065,3351111.11111,2.0,6.0,6.0 
house10066,3437777.77778,3.0,7.0,5.0 
house10067,3264444.44444,1.0,5.0,6.0 
house10068,3264444.44444,2.0,6.0,5.0 
house10069,3264444.44444,1.0,4.0,4.0 
house10070,10400000.0,1.0,4.0,2.0 
house10071,3177777.77778,3.0,7.0,7.0 
house10072,10400000.0,1.0,4.0,2.0 
house10073,10400000.0,1.0,3.0,1.0 
house10074,10400000.0,1.0,4.0,3.0 
house10075,3697777.77778,1.0,7.0,9.0 
house10076,3264444.44444,3.0,9.0,11.0 
house10077,3611111.11111,2.0,7.0,5.0 
house10078,10400000.0,2.0,5.0,3.0 
house10079,3351111.11111,3.0,8.0,8.0 
house10080,3004444.44444,2.0,6.0,7.0 
house10081,5315555.55556,1.0,9.0,13.0 
house10082,2975555.55556,1.0,4.0,5.0 
house10083,3351111.11111,2.0,6.0,7.0 
house10084,3351111.11111,1.0,6.0,8.0 
house10085,10400000.0,1.0,4.0,2.0 
house10086,3091111.11111,2.0,5.0,5.0 
house10087,3611111.11111,2.0,6.0,5.0 
house10088,3004444.44444,1.0,4.0,4.0 
house10089,3697777.77778,1.0,4.0,3.0 
house10090,5315555.55556,1.0,5.0,4.0 
house10091,10400000.0,1.0,4.0,2.0 
house10092,3148888.88889,2.0,5.0,6.0 
house10093,5373333.33333,1.0,8.0,8.0 
house10094,4131111.11111,2.0,8.0,7.0 
house10095,3264444.44444,2.0,9.0,11.0 
house10096,10400000.0,1.0,8.0,8.0 
house10097,3177777.77778,2.0,5.0,4.0 
house10098,3351111.11111,2.0,5.0,5.0 
house10099,3784444.44444,1.0,5.0,6.0 
house10100,5315555.55556,1.0,8.0,9.0 
house10101,10400000.0,2.0,6.0,4.0 
house10102,5055555.55556,1.0,5.0,6.0 
house10103,3611111.11111,1.0,5.0,6.0 
house10104,10400000.0,1.0,4.0,3.0 
house10105,3004444.44444,3.0,7.0,7.0 
house10106,3351111.11111,2.0,6.0,5.0 
house10107,5315555.55556,3.0,9.0,9.0 
house10108,3177777.77778,1.0,4.0,3.0 
house10109,3264444.44444,3.0,9.0,10.0 
house10110,10400000.0,1.0,7.0,7.0 
house10111,3611111.11111,1.0,6.0,7.0 
house10112,3091111.11111,3.0,7.0,9.0 
house10113,3264444.44444,1.0,4.0,3.0 
house10114,2802222.22222,2.0,5.0,6.0 
house10115,4997777.77778,3.0,8.0,8.0 
house10116,2773333.33333,3.0,7.0,8.0 
house10117,10400000.0,3.0,7.0,1.0 
house10118,3351111.11111,1.0,6.0,7.0 
house10119,3062222.22222,2.0,7.0,8.0 
house10120,10400000.0,1.0,3.0,1.0 
house10121,3697777.77778,1.0,5.0,5.0 
house10122,3235555.55556,1.0,6.0,7.0 
house10123,3957777.77778,2.0,6.0,6.0 
house10124,3177777.77778,2.0,6.0,8.0 
house10125,3264444.44444,1.0,3.0,3.0 
house10126,3611111.11111,1.0,6.0,7.0 
house10127,10400000.0,3.0,7.0,5.0 
house10128,10400000.0,1.0,7.0,6.0 
house10129,3524444.44444,1.0,4.0,3.0 
house10130,3697777.77778,3.0,9.0,8.0 
house10131,3784444.44444,1.0,7.0,8.0 
house10132,4044444.44444,1.0,7.0,8.0 
house10133,3177777.77778,1.0,4.0,3.0 
house10134,3351111.11111,2.0,8.0,9.0 
house10135,4131111.11111,1.0,5.0,4.0 
house10136,4044444.44444,1.0,7.0,8.0 
house10137,10400000.0,2.0,6.0,4.0 
house10138,3611111.11111,1.0,3.0,2.0 
house10139,3611111.11111,1.0,6.0,7.0 
house10140,3091111.11111,1.0,4.0,4.0 
house10141,5315555.55556,1.0,5.0,6.0 
house10142,2773333.33333,2.0,5.0,6.0 
house10143,3004444.44444,1.0,4.0,5.0 
house10144,10400000.0,1.0,3.0,1.0 
house10145,3697777.77778,2.0,5.0,4.0 
house10146,10400000.0,1.0,3.0,1.0 
house10147,2773333.33333,3.0,8.0,11.0 
house10148,3062222.22222,1.0,3.0,2.0 
house10149,3264444.44444,3.0,8.0,8.0 
house10150,10400000.0,3.0,7.0,2.0 
house10151,10400000.0,1.0,4.0,2.0 
house10152,3351111.11111,2.0,6.0,4.0 
house10153,3264444.44444,2.0,5.0,4.0 
house10154,3957777.77778,1.0,7.0,8.0 
house10155,10400000.0,2.0,6.0,4.0 
house10156,3611111.11111,2.0,7.0,9.0 
house10157,3437777.77778,1.0,7.0,8.0 
house10158,5633333.33333,2.0,7.0,7.0 
house10159,10400000.0,2.0,5.0,4.0 
house10160,3177777.77778,1.0,4.0,4.0 
house10161,3091111.11111,2.0,6.0,7.0 
house10162,5373333.33333,2.0,9.0,9.0 
house10163,3524444.44444,1.0,7.0,10.0 
house10164,6066666.66667,2.0,5.0,3.0 
house10165,3351111.11111,1.0,6.0,8.0 
house10166,3177777.77778,1.0,6.0,7.0 
house10167,3264444.44444,1.0,5.0,4.0 
house10168,3957777.77778,2.0,7.0,5.0 
house10169,10400000.0,3.0,9.0,9.0 
house10170,3611111.11111,2.0,6.0,6.0 
house10171,3177777.77778,1.0,4.0,3.0 
house10172,10400000.0,1.0,5.0,6.0 
house10173,3351111.11111,2.0,7.0,5.0 
house10174,3177777.77778,1.0,5.0,6.0 
house10175,3524444.44444,1.0,9.0,12.0 
house10176,4131111.11111,1.0,4.0,3.0 
house10177,5315555.55556,2.0,7.0,8.0 
house10178,10400000.0,2.0,5.0,1.0 
house10179,10400000.0,1.0,3.0,1.0 
house10180,3697777.77778,1.0,5.0,5.0 
house10181,5431111.11111,1.0,6.0,5.0 
house10182,3524444.44444,1.0,6.0,7.0 
house10183,3524444.44444,2.0,7.0,7.0 
house10184,3264444.44444,1.0,7.0,8.0 
house10185,3177777.77778,3.0,8.0,11.0 
house10186,3091111.11111,1.0,3.0,3.0 
house10187,3177777.77778,2.0,6.0,5.0 
house10188,3524444.44444,1.0,4.0,4.0 
house10189,10400000.0,1.0,4.0,2.0 
house10190,5315555.55556,1.0,9.0,12.0 
house10191,3437777.77778,3.0,9.0,10.0 
house10192,10400000.0,2.0,8.0,6.0 
house10193,2773333.33333,4.0,9.0,10.0 
house10194,10400000.0,1.0,5.0,3.0 
house10195,3091111.11111,2.0,6.0,8.0 
house10196,3264444.44444,1.0,6.0,7.0 
house10197,5315555.55556,1.0,9.0,11.0 
house10198,10400000.0,1.0,6.0,7.0 
house10199,10400000.0,1.0,4.0,2.0 
house10200,3437777.77778,2.0,6.0,6.0 
house10201,10400000.0,2.0,7.0,4.0 
house10202,3697777.77778,1.0,6.0,6.0 
house10203,5344444.44444,2.0,7.0,8.0 
house10204,3871111.11111,2.0,9.0,10.0 
house10205,10400000.0,2.0,5.0,3.0 
house10206,3437777.77778,2.0,9.0,9.0 
house10207,3784444.44444,2.0,7.0,9.0 
house10208,3264444.44444,3.0,8.0,11.0 
house10209,3004444.44444,2.0,6.0,7.0 
house10210,3177777.77778,2.0,6.0,6.0 
house10211,3437777.77778,2.0,8.0,7.0 
house10212,3177777.77778,1.0,4.0,4.0 
house10213,5315555.55556,1.0,6.0,6.0 
house10214,10400000.0,3.0,7.0,2.0 
house10215,3351111.11111,1.0,6.0,5.0 
house10216,3177777.77778,1.0,3.0,2.0 
house10217,10400000.0,1.0,4.0,2.0 
house10218,10400000.0,2.0,7.0,4.0 
house10219,3177777.77778,2.0,5.0,6.0 
house10220,10400000.0,1.0,7.0,6.0 
house10221,3437777.77778,2.0,5.0,3.0 
house10222,4217777.77778,1.0,6.0,6.0 
house10223,3351111.11111,1.0,6.0,7.0 
house10224,3091111.11111,2.0,7.0,9.0 
house10225,3928888.88889,1.0,4.0,5.0 
house10226,3611111.11111,1.0,6.0,7.0 
house10227,3264444.44444,2.0,5.0,5.0 
house10228,4044444.44444,1.0,7.0,8.0 
house10229,10400000.0,1.0,5.0,3.0 
house10230,3437777.77778,2.0,7.0,6.0 
house10231,5315555.55556,2.0,7.0,8.0 
house10232,3004444.44444,1.0,3.0,3.0 
house10233,3784444.44444,2.0,8.0,7.0 
house10234,5315555.55556,1.0,5.0,6.0 
house10235,5315555.55556,1.0,7.0,8.0 
house10236,2773333.33333,3.0,8.0,10.0 
house10237,3177777.77778,2.0,7.0,8.0 
house10238,3351111.11111,2.0,6.0,8.0 
house10239,10400000.0,3.0,7.0,5.0 
house10240,3264444.44444,3.0,9.0,11.0 
house10241,3871111.11111,1.0,7.0,8.0 
house10242,4651111.11111,1.0,7.0,8.0 
house10243,3177777.77778,2.0,5.0,5.0 
house10244,3091111.11111,1.0,3.0,3.0 
house10245,4304444.44444,1.0,6.0,7.0 
house10246,3437777.77778,1.0,6.0,7.0 
house10247,10400000.0,2.0,5.0,4.0 
house10248,3524444.44444,1.0,4.0,3.0 
house10249,5315555.55556,1.0,6.0,6.0 
house10250,3611111.11111,2.0,6.0,5.0 
house10251,3177777.77778,1.0,4.0,3.0 
house10252,3177777.77778,1.0,3.0,2.0 
house10253,10400000.0,1.0,3.0,1.0 
house10254,5315555.55556,2.0,6.0,5.0 
house10255,4044444.44444,3.0,7.0,4.0 
house10256,5315555.55556,2.0,7.0,8.0 
house10257,3437777.77778,2.0,8.0,9.0 
house10258,3611111.11111,2.0,7.0,6.0 
house10259,3091111.11111,1.0,3.0,3.0 
