name,fan_cost,ac_count,room_count,link_count 
house30000,5315555.55556,1.0,5.0,6.0 
house30001,3611111.11111,2.0,7.0,7.0 
house30002,10400000.0,2.0,6.0,4.0 
house30003,3264444.44444,1.0,6.0,7.0 
house30004,3091111.11111,2.0,5.0,5.0 
house30005,10400000.0,3.0,8.0,2.0 
house30006,10400000.0,3.0,8.0,3.0 
house30007,5315555.55556,3.0,9.0,8.0 
house30008,10400000.0,2.0,7.0,6.0 
house30009,4131111.11111,1.0,4.0,3.0 
house30010,3264444.44444,1.0,5.0,5.0 
house30011,3437777.77778,1.0,3.0,2.0 
house30012,10400000.0,1.0,7.0,7.0 
house30013,4477777.77778,1.0,8.0,10.0 
house30014,3177777.77778,1.0,4.0,5.0 
house30015,10400000.0,1.0,9.0,8.0 
house30016,10400000.0,2.0,6.0,4.0 
house30017,5315555.55556,4.0,9.0,9.0 
house30018,10400000.0,3.0,8.0,6.0 
house30019,3784444.44444,1.0,4.0,3.0 
house30020,3177777.77778,2.0,6.0,8.0 
house30021,3784444.44444,2.0,7.0,8.0 
house30022,3524444.44444,3.0,7.0,9.0 
house30023,5373333.33333,3.0,9.0,9.0 
house30024,3582222.22222,2.0,7.0,7.0 
house30025,3062222.22222,1.0,3.0,3.0 
house30026,3697777.77778,2.0,5.0,3.0 
house30027,3871111.11111,1.0,6.0,7.0 
house30028,5315555.55556,1.0,7.0,7.0 
house30029,10400000.0,1.0,5.0,3.0 
house30030,10400000.0,3.0,8.0,4.0 
house30031,3351111.11111,1.0,6.0,7.0 
house30032,3004444.44444,2.0,6.0,8.0 
house30033,4708888.88889,1.0,7.0,7.0 
house30034,3004444.44444,1.0,3.0,3.0 
house30035,10400000.0,2.0,7.0,4.0 
house30036,3264444.44444,1.0,3.0,2.0 
house30037,10400000.0,3.0,7.0,4.0 
house30038,3177777.77778,1.0,4.0,4.0 
house30039,4131111.11111,1.0,4.0,5.0 
house30040,5315555.55556,2.0,6.0,6.0 
house30041,3148888.88889,1.0,3.0,3.0 
house30042,5315555.55556,3.0,9.0,8.0 
house30043,5980000.0,3.0,9.0,8.0 
house30044,3697777.77778,1.0,8.0,9.0 
house30045,3697777.77778,1.0,8.0,9.0 
house30046,3437777.77778,1.0,5.0,6.0 
house30047,10400000.0,1.0,3.0,1.0 
house30048,10400000.0,2.0,6.0,4.0 
house30049,3351111.11111,2.0,8.0,8.0 
house30050,3004444.44444,2.0,5.0,6.0 
house30051,2773333.33333,3.0,9.0,12.0 
house30052,3697777.77778,2.0,8.0,11.0 
house30053,10400000.0,2.0,5.0,3.0 
house30054,4131111.11111,3.0,8.0,8.0 
house30055,4275555.55556,3.0,8.0,7.0 
house30056,3524444.44444,1.0,7.0,9.0 
house30057,3524444.44444,1.0,5.0,4.0 
house30058,3004444.44444,2.0,5.0,6.0 
house30059,3437777.77778,3.0,10.0,10.0 
house30060,3264444.44444,1.0,6.0,8.0 
house30061,3351111.11111,2.0,8.0,9.0 
house30062,10400000.0,3.0,7.0,8.0 
house30063,10400000.0,2.0,5.0,2.0 
house30064,5315555.55556,1.0,6.0,7.0 
house30065,5315555.55556,1.0,4.0,3.0 
house30066,2773333.33333,2.0,5.0,7.0 
house30067,3177777.77778,2.0,6.0,7.0 
house30068,4824444.44444,2.0,7.0,7.0 
house30069,3524444.44444,1.0,6.0,6.0 
house30070,10400000.0,2.0,7.0,4.0 
house30071,3264444.44444,1.0,6.0,6.0 
house30072,2773333.33333,3.0,7.0,9.0 
house30073,3351111.11111,2.0,7.0,8.0 
house30074,5315555.55556,2.0,10.0,14.0 
house30075,3264444.44444,2.0,5.0,5.0 
house30076,3351111.11111,2.0,5.0,7.0 
house30077,10400000.0,1.0,3.0,1.0 
house30078,3611111.11111,3.0,7.0,6.0 
house30079,3177777.77778,2.0,6.0,6.0 
house30080,3148888.88889,1.0,5.0,6.0 
house30081,5142222.22222,4.0,10.0,10.0 
house30082,4304444.44444,1.0,6.0,6.0 
house30083,10400000.0,3.0,8.0,6.0 
house30084,10400000.0,2.0,6.0,4.0 
house30085,5315555.55556,1.0,8.0,11.0 
house30086,5315555.55556,1.0,8.0,11.0 
house30087,10400000.0,2.0,5.0,1.0 
house30088,10400000.0,2.0,7.0,6.0 
house30089,10400000.0,1.0,6.0,7.0 
house30090,3004444.44444,1.0,3.0,3.0 
house30091,3437777.77778,2.0,6.0,7.0 
house30092,2773333.33333,3.0,9.0,11.0 
house30093,4535555.55556,2.0,7.0,8.0 
house30094,3351111.11111,1.0,4.0,3.0 
house30095,3582222.22222,1.0,6.0,6.0 
house30096,3177777.77778,1.0,5.0,5.0 
house30097,3697777.77778,2.0,6.0,6.0 
house30098,3351111.11111,2.0,6.0,7.0 
house30099,3264444.44444,1.0,5.0,5.0 
house30100,2917777.77778,2.0,5.0,5.0 
house30101,3611111.11111,1.0,6.0,6.0 
house30102,3524444.44444,1.0,7.0,7.0 
house30103,3004444.44444,3.0,8.0,10.0 
house30104,3611111.11111,1.0,5.0,7.0 
house30105,3004444.44444,1.0,4.0,5.0 
house30106,10400000.0,1.0,3.0,1.0 
house30107,3004444.44444,2.0,5.0,6.0 
house30108,10400000.0,4.0,9.0,1.0 
house30109,5431111.11111,1.0,8.0,10.0 
house30110,3351111.11111,2.0,6.0,7.0 
house30111,3148888.88889,1.0,4.0,4.0 
house30112,3437777.77778,1.0,7.0,9.0 
house30113,10400000.0,1.0,4.0,2.0 
house30114,4448888.88889,3.0,7.0,8.0 
house30115,3437777.77778,2.0,7.0,9.0 
house30116,3611111.11111,2.0,8.0,11.0 
house30117,4997777.77778,2.0,6.0,6.0 
house30118,3004444.44444,2.0,5.0,6.0 
house30119,3177777.77778,2.0,7.0,8.0 
house30120,3437777.77778,1.0,5.0,6.0 
house30121,3437777.77778,1.0,8.0,10.0 
house30122,3177777.77778,2.0,6.0,6.0 
house30123,10400000.0,2.0,7.0,6.0 
house30124,3784444.44444,1.0,9.0,11.0 
house30125,5431111.11111,3.0,8.0,9.0 
house30126,3437777.77778,2.0,8.0,7.0 
house30127,10400000.0,2.0,7.0,5.0 
house30128,3091111.11111,2.0,6.0,7.0 
house30129,10400000.0,1.0,5.0,5.0 
house30130,3784444.44444,2.0,7.0,5.0 
house30131,3784444.44444,3.0,9.0,8.0 
house30132,3177777.77778,3.0,7.0,5.0 
house30133,5315555.55556,3.0,10.0,12.0 
house30134,3177777.77778,1.0,6.0,7.0 
house30135,3177777.77778,3.0,8.0,7.0 
house30136,3091111.11111,2.0,6.0,7.0 
house30137,5315555.55556,3.0,8.0,9.0 
house30138,3784444.44444,2.0,8.0,8.0 
house30139,3351111.11111,1.0,8.0,9.0 
house30140,3697777.77778,1.0,7.0,9.0 
house30141,3697777.77778,1.0,6.0,5.0 
house30142,3004444.44444,1.0,4.0,4.0 
house30143,10400000.0,3.0,8.0,3.0 
house30144,10400000.0,3.0,8.0,4.0 
house30145,3264444.44444,1.0,3.0,3.0 
house30146,3611111.11111,1.0,7.0,6.0 
house30147,3524444.44444,1.0,6.0,5.0 
house30148,5315555.55556,1.0,7.0,7.0 
house30149,3004444.44444,2.0,6.0,6.0 
house30150,3697777.77778,1.0,4.0,3.0 
house30151,3004444.44444,1.0,3.0,3.0 
house30152,5315555.55556,2.0,7.0,8.0 
house30153,3091111.11111,1.0,4.0,4.0 
house30154,3264444.44444,1.0,6.0,7.0 
house30155,3091111.11111,2.0,5.0,6.0 
house30156,3177777.77778,3.0,7.0,8.0 
house30157,3177777.77778,1.0,5.0,4.0 
house30158,3437777.77778,3.0,8.0,7.0 
house30159,3437777.77778,1.0,4.0,3.0 
house30160,4044444.44444,2.0,6.0,5.0 
house30161,3177777.77778,2.0,6.0,5.0 
house30162,10400000.0,2.0,6.0,4.0 
house30163,10400000.0,1.0,6.0,6.0 
house30164,3091111.11111,2.0,6.0,7.0 
house30165,3264444.44444,4.0,9.0,11.0 
house30166,10400000.0,2.0,5.0,1.0 
house30167,3091111.11111,3.0,7.0,7.0 
house30168,5980000.0,2.0,5.0,3.0 
house30169,4217777.77778,4.0,9.0,6.0 
house30170,3264444.44444,2.0,8.0,8.0 
