name,fan_cost,ac_count,room_count,link_count 
house20116,2773333.33333,1.0,3.0,3.0 
house20117,3004444.44444,1.0,4.0,5.0 
house20118,4217777.77778,2.0,8.0,10.0 
house20119,10400000.0,2.0,7.0,7.0 
house20120,5344444.44444,1.0,8.0,9.0 
house20121,4304444.44444,3.0,7.0,8.0 
house20122,10400000.0,1.0,7.0,7.0 
house20123,3264444.44444,1.0,4.0,5.0 
house20124,3264444.44444,2.0,8.0,8.0 
house20125,3264444.44444,1.0,4.0,5.0 
house20126,3871111.11111,3.0,9.0,9.0 
house20127,3264444.44444,1.0,5.0,6.0 
house20128,3351111.11111,1.0,6.0,6.0 
house20129,10400000.0,1.0,3.0,1.0 
house20130,3177777.77778,1.0,4.0,5.0 
house20131,3091111.11111,1.0,4.0,4.0 
house20132,3264444.44444,1.0,4.0,3.0 
house20133,3177777.77778,2.0,6.0,6.0 
house20134,5460000.0,1.0,8.0,9.0 
house20135,3264444.44444,1.0,7.0,9.0 
house20136,5344444.44444,1.0,6.0,5.0 
house20137,3264444.44444,2.0,6.0,5.0 
house20138,10400000.0,1.0,4.0,2.0 
house20139,10400000.0,2.0,5.0,2.0 
house20140,3524444.44444,1.0,5.0,5.0 
house20141,10400000.0,2.0,6.0,3.0 
house20142,4564444.44444,1.0,8.0,11.0 
house20143,10400000.0,3.0,7.0,2.0 
house20144,10400000.0,1.0,3.0,1.0 
house20145,3177777.77778,1.0,5.0,4.0 
house20146,3697777.77778,2.0,7.0,8.0 
house20147,3264444.44444,3.0,8.0,8.0 
house20148,3437777.77778,1.0,6.0,6.0 
house20149,3697777.77778,3.0,9.0,10.0 
house20150,3611111.11111,1.0,6.0,6.0 
house20151,3524444.44444,3.0,10.0,13.0 
house20152,3351111.11111,2.0,6.0,7.0 
house20153,3611111.11111,1.0,5.0,6.0 
house20154,3148888.88889,1.0,4.0,5.0 
house20155,2802222.22222,4.0,10.0,7.0 
house20156,3437777.77778,2.0,7.0,8.0 
house20157,3784444.44444,3.0,9.0,9.0 
house20158,3611111.11111,1.0,8.0,11.0 
house20159,3004444.44444,2.0,6.0,7.0 
house20160,5315555.55556,1.0,5.0,6.0 
house20161,3351111.11111,2.0,7.0,8.0 
house20162,3611111.11111,2.0,7.0,6.0 
house20163,3177777.77778,1.0,7.0,9.0 
house20164,4044444.44444,1.0,6.0,8.0 
