name,fan_cost,ac_count,room_count,link_count 
house0133,3091111.11111,1.0,4.0,3.0 
house0134,3611111.11111,2.0,6.0,7.0 
house0135,3004444.44444,2.0,6.0,5.0 
house0136,3091111.11111,1.0,4.0,5.0 
house0137,3177777.77778,2.0,6.0,6.0 
house0138,3697777.77778,1.0,8.0,9.0 
house0139,5315555.55556,2.0,7.0,8.0 
house0140,10400000.0,3.0,8.0,2.0 
house0141,3871111.11111,2.0,7.0,8.0 
house0142,10400000.0,2.0,5.0,1.0 
house0143,3697777.77778,1.0,5.0,6.0 
house0144,10400000.0,3.0,8.0,4.0 
house0145,2802222.22222,2.0,5.0,7.0 
house0146,3264444.44444,1.0,4.0,5.0 
house0147,10400000.0,2.0,5.0,2.0 
house0148,5315555.55556,1.0,7.0,6.0 
house0149,3437777.77778,2.0,6.0,6.0 
house0150,10400000.0,1.0,8.0,7.0 
house0151,3264444.44444,3.0,8.0,8.0 
house0152,10400000.0,1.0,8.0,7.0 
house0153,5373333.33333,1.0,6.0,7.0 
house0154,10400000.0,1.0,3.0,1.0 
house0155,10400000.0,3.0,9.0,7.0 
house0156,2975555.55556,2.0,5.0,5.0 
house0157,3351111.11111,1.0,5.0,4.0 
house0158,3177777.77778,1.0,6.0,8.0 
house0159,10400000.0,1.0,8.0,8.0 
house0160,10400000.0,2.0,8.0,9.0 
house0161,3351111.11111,1.0,4.0,3.0 
house0162,5315555.55556,1.0,7.0,6.0 
house0163,3437777.77778,2.0,7.0,7.0 
house0164,3437777.77778,1.0,4.0,4.0 
house0165,3611111.11111,1.0,7.0,8.0 
house0166,3524444.44444,1.0,8.0,10.0 
house0167,3784444.44444,1.0,6.0,7.0 
house0168,10400000.0,1.0,4.0,2.0 
house0169,3611111.11111,1.0,3.0,2.0 
house0170,3351111.11111,1.0,5.0,4.0 
house0171,10400000.0,2.0,6.0,2.0 
house0172,3351111.11111,2.0,8.0,10.0 
house0173,4997777.77778,2.0,8.0,9.0 
house0174,5315555.55556,1.0,8.0,8.0 
house0175,3351111.11111,2.0,7.0,7.0 
house0176,3264444.44444,2.0,5.0,5.0 
house0177,4217777.77778,2.0,7.0,8.0 
house0178,3264444.44444,1.0,5.0,6.0 
house0179,3091111.11111,2.0,5.0,3.0 
house0180,10400000.0,2.0,6.0,4.0 
house0181,3437777.77778,1.0,3.0,2.0 
house0182,3004444.44444,1.0,3.0,3.0 
house0183,3264444.44444,2.0,7.0,9.0 
house0184,4304444.44444,1.0,10.0,11.0 
house0185,4217777.77778,1.0,5.0,4.0 
house0186,3697777.77778,2.0,7.0,7.0 
house0187,3004444.44444,3.0,7.0,9.0 
house0188,4044444.44444,1.0,5.0,5.0 
house0189,10400000.0,2.0,5.0,1.0 
house0190,3264444.44444,1.0,5.0,6.0 
house0191,10400000.0,2.0,5.0,4.0 
house0192,5315555.55556,1.0,5.0,4.0 
